"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Prediction of winners in MOBA games","C. E. M. Almeida; R. C. M. Correia; D. M. Eler; C. Olivete-Jr; R. E. Garci; L. C. Scabora; G. Spadon","Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Ciências de Computação (SCC), Instituto de Ciências Matemáticas e de Computação (ICMC), Universidade de São Paulo (USP), São Carlos, São Paulo - Brasil; Departamento de Ciências de Computação (SCC), Instituto de Ciências Matemáticas e de Computação (ICMC), Universidade de São Paulo (USP), São Carlos, São Paulo - Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Multiplayer Online Battle Arena (MOBA) games are very popular in the current eSport scenario, being highlighted in several competitions around the world. However, the domain of knowledge contained in these games is large, which makes it difficult to discover and predict the course of a match. The present work proposes the application of classification algorithms to determine the team with more chances to win a match. Two classifications procedures were used, one based on the composition of heroes in each team and another considering the duration of the match. The experiments were performed on data collected from 123,326 matches of Dota 2, showing that it was possible to achieve approximately 77% accuracy. The results demonstrate the effectiveness of the application when using techniques assisted by computers, and when using the methodology described in championships or other similar games that require the definition of strategies.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975774","Data Mining;Classification;Strategic Games","Games;Valves;Software;Creep;Monte Carlo methods;Classification algorithms;Computers","computer games;data mining;pattern classification","MOBA game winner prediction;multiplayer online battle arena games;e-sport scenario;team heroes;Dota 2;classification algorithms","","","8","","13 Jul 2017","","","IEEE","IEEE Conferences"
"FitRank — Social app to combat physical inactivity study of the use of fitness social apps on Facebook's users profiles","F. Paschoal; N. F. F. Ebecken; G. V. S. Ribeiro; L. M. de Aragão Daquer; R. C. Mauro; E. S. Ogasawara","Universidade Federal do Rio de Janeiro (UFRJ), COPPE - NTT, Rio de Janeiro, Brasil; Universidade Federal do Rio de Janeiro (UFRJ), COPPE - NTT, Rio de Janeiro, Brasil; CEFET/RJ - Escola de Informática e Computação (EIC) Departamento de Informática (DEPIN) Rio de Janeiro, Brasil; CEFET/RJ - Escola de Informática e Computação (EIC) Departamento de Informática (DEPIN) Rio de Janeiro, Brasil; CEFET/RJ - Escola de Informática e Computação (EIC) Departamento de Informática (DEPIN) Rio de Janeiro, Brasil; CEFET/RJ - Escola de Informática e Computação (EIC) Departamento de Informática (DEPIN) Rio de Janeiro, Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Social Applications (SA) work in an integrated way with the Online Social Networks (OSN) and allow both the creation of rich contents to share in the OSN as well as the extraction and mining of the data shared in the OSN. This work presents FitRank SA, which creates customizable rankings of shared physical activity on Facebook, with the possibility of up to 60 variations of rankings types. It extracts the data of activities shared by most SA physical activity monitoring, as well as allows the user to share their rankings in their Facebook profile. Their innovation is to group in a same ranking users of eleven SA physical activity monitoring, allowing a greater socialization among them and a greater motivation to practice sports and combat sedentary lifestyle, stimulating its users to a change of behavior for a life healthier. FitRank works with the concept of gamification like a social competition for healthy behavior. It is an integral part of an ongoing PhD thesis that will mining extracted data to compose the Behavioral User Pattern (BUP) in relation to its practice of physical activities, such as the goal of correlating healthy habits with practice of physical activities, in addition to predict the healthy behavior of the user, with the motivation of using Facebook. In this paper, the preliminary results of the use of FitRank, with sociodemographic information and also the execution of physical activities by its users, are presented.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975688","data mining;social networks;Facebook;social apps;quality of life;inactivity","Facebook;Monitoring;Global Positioning System;Data mining;Roads;Smart phones","computer games;data mining;health care;social networking (online)","FitRank SA;physical inactivity;fitness social apps;Facebook users profiles;social applications;online social networks;OSN;data mining;customizable rankings;shared physical activity;SA physical activity monitoring;sedentary lifestyle;healthy life;gamification;social competition;PhD thesis;behavioral user pattern;BUP;user healthy behavior prediction;sociodemographic information","","","55","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Data mining on LinkedIn data to define professional profile via MineraSkill methodology","D. C. M. F. Caldeira; R. C. M. Correia; G. Spadon; D. M. Eler; C. Olivete-Jr; R. E. Garcia","Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Social networks are of significant analytical interest. This is because their data are generated in great quantity, and intermittently, besides that, the data are from a wide variety, and it is widely available to users. Through such data, it is desired to extract knowledge or information that can be used in decision-making activities. In this context, we have identified the lack of methods that apply data mining techniques to the task of analyzing the professional profile of employees. The aim of such analyses is to detect competencies that are of greater interest by being more required and also, to identify their associative relations. Thus, this work introduces MineraSkill methodology that deals with methods to infer the desired profile of a candidate for a job vacancy. In order to do so, we use keyword detection via natural language processing techniques; which are related to others by inferring their association rules. The results are presented in the form of a case study, which analyzed data from LinkedIn, demonstrating the potential of the methodology in indicating trending competencies that are required together.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975730","Data Mining;Professional Profile;Natural Language Processing;MineraSkill","LinkedIn;Data mining;Natural language processing;Monte Carlo methods;Application programming interfaces;Facebook","business data processing;data mining;natural language processing;personnel;professional aspects;social networking (online)","data mining;LinkedIn data;professional profile;MineraSkill methodology;social networks;knowledge extraction;decision-making activities;employees;competencies detection;associative relations;job vacancy;keyword detection;natural language processing","","","11","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Use of educational data mining to identify distance learning students' profiles and patterns of participation","T. Ramos; A. Gomes; M. Lucena; I. Nunes; R. Valentim; G. Nóbrega","Universidade Federal do Rio Grande do Norte, Natal, Brasil; Universidade Federal do Rio Grande do Norte, Natal, Brasil; Universidade Federal do Rio Grande do Norte, Natal, Brasil; Universidade Federal do Rio Grande do Norte, Natal, Brasil; Universidade Federal do Rio Grande do Norte, Natal, Brasil; Universidade Federal do Rio Grande do Norte, Natal, Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","The Educational Data Mining allows to identify and cluster students by certain characteristics that are specified through the needs and problems raised by the teachers and course coordinators. In this context, this research aims to apply data mining techniques for the identification of profiles and participation patterns of students in a course of higher distance course resulting in the prediction of the chances of each student's approval. The result was the identification of 4 clusters that designate the profiles and types of participation of the students, namely: active, medium, inconstant and absent.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975960","Data mining;Student profile;Prediction of approval;Higher education","Data mining;Principal component analysis;Computer aided instruction;Knowledge discovery;Databases","data mining;distance learning;educational courses;further education","educational data mining;distance learning;student profile identification;participation pattern identification;higher distance course","","","15","","13 Jul 2017","","","IEEE","IEEE Conferences"
"KDD processes in non-relational data: The case of the MineraMongo tool","T. G. Lima; R. C. M. Correia; D. M. Eler; C. Olivete-Jr; R. E. Garcia","Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil; Departamento de Matemática e Computação (DMC), Universidade Estadual Paulista (FCT/UNESP), Presidente Prudente, São Paulo - Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","The process of Knowledge Discovery in Databases, or KDD for short, have been intensively used in tasks focused on searching useful information based on data. The reason is that such data is generated in significant volume, high speed and with a large variety, which makes it require accurate, efficient and scalable methods to handle them. Due to this scenario, several tools and methodologies have been developed to enable data analysis and mining processes. However, there is still a lack of KDD methods based on non-relational data. Considering this scenario, this work aims to present a tool capable of providing selection, preprocessing, transformation, mining and data analysis through databases. Our results consist in a case study, which is used to demonstrate the potential of the MineraMongo tool. This research contributes in a framework of analytical and computational techniques.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975734","Data Mining;MongoDB;Weka;MineraMongo","Tools;Data mining;Databases;Data analysis;Monte Carlo methods;Knowledge discovery;Manuals","data analysis;data mining;database management systems","KDD processes;nonrelational data;MineraMongo tool;knowledge discovery;databases;data analysis;data mining processes;KDD methods","","","15","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Identification and systematization of indicatives and data mining techniques for detecting evasion in distance education","D. Ramalho da Silva; S. de Lima Martins; C. Maciel","Instituto Federal do Mato Grosso (IFMT), Universidade Federal Fluminense (UFF), Cuiabá, MT - Brasil; Instituto de Computação - Universidade Federal Fluminense (UFF), Niterói, RJ - Brasil; Instituto de Computação - Universidade Federal de Mato Grosso (UFMT) - Cuiabá, MT - Brasil","2017 Twelfth Latin American Conference on Learning Technologies (LACLO)","30 Nov 2017","2017","","","1","8","This article presents a survey of the factors that indicate evasion in distance education, as well as the data mining techniques that are being used in the detection of evasion. As a methodology, we have used the systematic review, analyzing the works published in the last five years. The result indicated that there are multiple factors that influence evasion, which were systematized in four dimensions, being related to the students, the institution, the teachers and external factors.","","978-1-5386-2376-3","10.1109/LACLO.2017.8120892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120892","Evasion;Dropout Student;Distance Education and Data Mining","Data mining;Education;Adaptation models;Internet;Systematics;Indexes;Data models","data mining;distance learning","external factors;data mining techniques;distance education;evasion detection;indicatives identification;indicatives systemization","","","","","30 Nov 2017","","","IEEE","IEEE Conferences"
"Creation of new attributes to forecast student loyalty","K. Fazolin; C. Kaestner","PPGCA - Universidade Tecnológica Federal do Paraná - UTFPR/ Instituto Adventista de Tecnologia - IATec, Curitiba - PR - Brasil; PPGCA - Universidade Tecnológica Federal do Paraná - UTFPR, Curitiba - PR - Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","5","The loyalty and retention of students in educational institutions has become one of the greatest challenges for the management area of these institutions. A promising solution to achieve this goal is the use of educational data mining to identify patterns that aid in decision making. This paper presents a proposal for the creation of temporal attributes with the purpose of helping to predict the avoidance of elementary school students in private schools, treated as a classification problem. After the application of the classification algorithms, it was verified that the KNN classifier obtained the best accuracy before the use of the new attribute, but the best algorithm to predict avoidance in the context of this research was the Decision Tree J4.8, since the Even allows the interpretation of the factors that led to the final result. The results show that the approach is viable, with an accuracy of up to 97.87% in the experiments performed.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975986","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975986","educational data mining;classification;creation new atributes","Data mining;Classification algorithms;Support vector machines;Biology;Decision making;Proposals;Prediction algorithms","data mining;decision trees;educational administrative data processing;educational institutions;pattern classification","KNN classifier;J4.8 decision tree;classification problem;private schools;elementary school students;temporal attributes;decision making;pattern identification;educational data mining;educational institutions;student retention;student loyalty forecasting","","","13","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Integrating a PACS Network to a Statewide Telemedicine System: A Case Study of the Santa Catarina State Integrated Telemedicine and Telehealth System","A. Savaris; A. A. Gimenes Marquez Filho; R. Rodrigues Pires de Mello; G. B. Colonetti; A. Von Wangenheim; D. Krechel","Brazilian Institute for Digital Convergence – INCoD, Florianópolis, Santa Catarina, Brazil; Brazilian Institute for Digital Convergence – INCoD, Florianópolis, Santa Catarina, Brazil; Brazilian Institute for Digital Convergence – INCoD, Florianópolis, Santa Catarina, Brazil; Brazilian Institute for Digital Convergence – INCoD, Florianópolis, Santa Catarina, Brazil; Department of Informatics and Statistics (INE), Federal University of Santa Catarina (UFSC), Florianópolis, Santa Catarina, Brazil; Faculty of Design – Computer Science – Media, Hochschule RheinMain, Wiesbaden, Hessen, Germany","2017 IEEE 30th International Symposium on Computer-Based Medical Systems (CBMS)","13 Nov 2017","2017","","","356","357","In the literature, PACS and Telemedicine are located in different or complementary works. However, when integrated as part of the same solution, both contribute to the healthcare process as a whole. This work describes the experience on integrating a PACS infrastructure to a statewide telemedicine system, allowing to the latter to benefit from concepts defined by the former in terms of acquisition, transmission and storage of digital images. The obtained results attest the viability of such approach, allowing the construction of a robust, scalable, and secure solution attending scheduled procedures, image acquisition, content transmission, content storage, content evaluation, and the return of examination reports.","2372-9198","978-1-5386-1710-6","10.1109/CBMS.2017.128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8104218","PACS;Telemedicine;Telehealth;Healthcare","Telemedicine;Picture archiving and communication systems;Hospitals;Radiology;Computed tomography","health care;medical image processing;PACS;telemedicine","PACS infrastructure;statewide telemedicine system;PACS network;telehealth system;digital image transmission;digital image storage;Santa Catarina state integrated telemedicine system;image acquisition;content transmission;content evaluation","","","4","","13 Nov 2017","","","IEEE","IEEE Conferences"
"Coaxial and Digital Impedance Bridges for Capacitance Measurements at the nF Range","R. T. de Barros e Vasconcellos; V. R. de Lima; W. G. Kürten Ihlenfeld; F. d. Silveira","Quality and Technology, Brazilian National Institute of Metrology, Duque de Caxias, Brazil; Quality and Technology, Brazilian National Institute of Metrology, Duque de Caxias, Brazil; Quality and Technology, Brazilian National Institute of Metrology, Duque de Caxias, Brazil; Quality and Technology, Brazilian National Institute of Metrology, Duque de Caxias, Brazil","IEEE Transactions on Instrumentation and Measurement","10 May 2017","2017","66","6","1553","1559","This paper describes three impedance bridges in operation at INMETRO: the two- and four-terminal-pair coaxial bridges and a digital quadrature bridge, including several comparisons among them in the nanofarad capacitance range. These comparisons have the objective to verify the performance and reliability of the coaxial bridges between themselves and to infer on the capabilities of a digital one, recently put in operation. The results obtained indicate that the more accurate coaxial systems are compatible with one another in the 10-7 level. The digital bridge is in agreement with the coaxial ones within a few parts in 106 or even less in some cases.","1557-9662","","10.1109/TIM.2017.2662498","Brazilian National Institute of Metrology, Quality and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7879191","Capacitance standards;coaxial bridges;digital signal processing;impedance measurements;measurement uncertainty","Bridge circuits;Standards;Capacitance;Capacitance measurement;Capacitors;Uncertainty;Measurement uncertainty","bridge circuits;capacitance measurement;electric impedance measurement","digital impedance bridges;capacitance measurements;two-terminal-pair coaxial bridges;four-terminal-pair coaxial bridges;digital quadrature bridge;nanofarad capacitance range","","3","21","","15 Mar 2017","","","IEEE","IEEE Journals"
"Classification of urban environments using feature extraction and random forest","C. S. dos Anjos; M. G. Lacerda; L. do Livramento Andrade; R. N. Salles","Institute for Advanced Studies (IEAv), Brazilian Air Force, Brazil; Institute for Advanced Studies (IEAv), Brazilian Air Force, Brazil; Institute for Advanced Studies (IEAv), Brazilian Air Force, Brazil; Institute for Advanced Studies (IEAv), Brazilian Air Force, Brazil","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","1205","1208","Multisource remote sensing data provide information of high relevance for classification and climate studies in urban areas and are of particular interest for regional and global climate science. To classify the urban environment using predefined Local Climate Zones we propose a method using feature extraction, image segmentation and decision trees. The method extracts features and segments from the multisource data. Later objects are selected to create decision trees using the random forest algorithm. Finally the images are classified by the earlier generated trees. The multispectral images were from Landsat 8 and Sentinel 2 resampled to 100m. Visual analysis and quantitative testing of results show the effectiveness of our method.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8127174","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8127174","Random Forest;Feature Extraction;Local Climate Zone;Land Use Classification;Data Fusion","Urban areas;Remote sensing;Meteorology;Feature extraction;Radio frequency;Image segmentation;Earth","decision trees;feature extraction;geophysical image processing;image classification;image segmentation;terrain mapping","urban environment;feature extraction;remote sensing data;regional climate science;global climate science;image segmentation;multisource data;random forest algorithm;climate study;urban area;decision tree;multispectral image;predefined local climate zone;earlier generated tree;Landsat 8 image;Sentinel 2 image","","5","20","","4 Dec 2017","","","IEEE","IEEE Conferences"
