Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Bartolini C., Breitman K., Barbosa S.D.J., Salle M., Berardi R., Campos G.M., Eidt E.","7003919614;23007617000;7005050704;56251065500;36679665200;56102894100;36680059000;","Understanding IT organizations",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6415 LNCS","PART 1",,"488","501",,,"10.1007/978-3-642-16558-0_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650267754&doi=10.1007%2f978-3-642-16558-0_41&partnerID=40&md5=4230e7b2013d87ce93d66bd06b727359","Hewlett-Packard, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Departamento de Informática, PUC-Rio, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Universidade Do Estado Do Rio Grande Do Norte, Rua Marquês de São Vicente, 225, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil","Bartolini, C., Hewlett-Packard, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Breitman, K., Departamento de Informática, PUC-Rio, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Barbosa, S.D.J., Departamento de Informática, PUC-Rio, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Salle, M., Hewlett-Packard, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Berardi, R., Departamento de Informática, PUC-Rio, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Campos, G.M., Universidade Do Estado Do Rio Grande Do Norte, Rua Marquês de São Vicente, 225, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; Eidt, E., Hewlett-Packard, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil","Understanding IT organization is essential for ensuring a successful transformation phase in IT outsourcing deals. We present a model of IT organization, a methodology for deriving it - based both on ethnography and data mining - and a suite of tools for representing and visualizing the model, and to help design changes to bring the organization from its current (AS-IS) state to a desired (TO-BE) state, along with tools for comparing models of organizations based on qualities and characteristics that are expected to have a bearing on the success of the IT transformation step. © 2010 Springer-Verlag.","contextual design; knowledge elicitation; network of responsibilities","Contextual design; Design change; IT organizations; IT outsourcing; Knowledge elicitation; network of responsibilities; Formal methods; Metadata; Outsourcing; Design","Bartolini, C.; Hewlett-Packard, Gávea - Rio de Janeiro - RJ - 22451-900, Brazil; email: claudio.bartolini@hp.com",,,03029743,3642165575; 9783642165573,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-78650267754
"Dias A.M., Rodrigues E.A.L.","29067621600;35609757700;","Schizophrenia, genetics, epigenesis, environment: A systematic review of unified etiological hypotheses and genetic profile; and a new algorithm to cope with the main findings [Esquizofrenia, genética, epigênesis, ambiente: Uma revisão sistemática das hipóteses etiológicas unificadas e do perfil genética; e um novo algoritmo para o tratamento dos achados principais]",2010,"Avances en Psicologia Latinoamericana","28","1",,"29","41",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650274746&partnerID=40&md5=4747b42eeca3267f7b93cce01c142c63","Departamento de Psiquiatria, Faculdade de Medicina da Universidade de São Paulo, Rua Ovídio Pires Campos, São Paulo, Brazil; Laboratório de Pesquisa Sujeito e Corpo do IP-USP, Dep. de Psicologia Clínica, Universidade de São Paulo (PSC-USP), Av. Prof. Mello Moraes, São Paulo, Brazil","Dias, A.M., Departamento de Psiquiatria, Faculdade de Medicina da Universidade de São Paulo, Rua Ovídio Pires Campos, São Paulo, Brazil; Rodrigues, E.A.L., Laboratório de Pesquisa Sujeito e Corpo do IP-USP, Dep. de Psicologia Clínica, Universidade de São Paulo (PSC-USP), Av. Prof. Mello Moraes, São Paulo, Brazil","Context: Schizophrenia is a highly complex syndrome, related to genes, and to non-genetic risk factors. Famous epidemiological studies reported its presence among all cultures and geographic regions. In that sense, Unified Etiological hypothesis face the challenge to both present experimental data, and to show that the findings may cope with the syndrome's universal profile. Objectives: systematically review the most prominent Unified Etiological hypothesis, as much as the semantic distribution of genetic findings (under up to date data mining techniques), and propose a new model, based on the dynamic effects of epigenics over genetic activation in both neurodevelopment and early adulthood. Results: in general, Unified Etiological Hypothesis contradict the main genetic findings (which suggest that schizophrenias' genes are mostly associated with neurotransmitter profiles, like D-1 and the Glutamate-NMDA cascade); also in general, genetic findings are spread all over the genome (as we reveal with a topological map of the 3519 studies on the matter). The key for this conundrum may be represented by the association between the perspective that each polymorphism associated with schizophrenia represents a statistical risk factor (e.g. increasing the risk of developmental instability) while epigenetic molecular cascades and environmental factors considerably influence this picture, affecting genetic activation within critical periods.","Brain; Etiology; Schizophrenia",,"Dias, A. M.; Departamento de Psiquiatria, Faculdade de Medicina da Universidade de São Paulo, Rua Ovídio Pires Campos, São Paulo, Brazil; email: alvaromd@usp.br",,,17944724,,,,"Spanish","Av. Psicol. Latinoam.",Article,"Final",,Scopus,2-s2.0-78650274746
"Coimbra R.S., Vanderwall D.E., Oliveira G.C.","7005758452;7004037011;56267565400;","Disclosing ambiguous gene aliases by automatic literature profiling",2010,"BMC Genomics","11","SUPPL. 5", S3,"","",,3,"10.1186/1471-2164-11-S5-S3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650810699&doi=10.1186%2f1471-2164-11-S5-S3&partnerID=40&md5=3a10609bdc93871ca6d8c564dc071e51","Center for Excellence in Bioinformatics, Research Center René Rachou, FIOCRUZ-MG., Rua Araguari, 741, Barro Preto. Belo Horizonte, MG, Brazil; Genomics and Computational Biology Group, Research Center René Rachou, FIOCRUZ-MG., Av. Augusto de Lima, 1715, Barro Preto. Belo Horizonte, MG, Brazil; Molecular Discovery Research, GlaxoSmithKline Moore Dr, Research Triangle Park, NC, 27709, United States","Coimbra, R.S., Center for Excellence in Bioinformatics, Research Center René Rachou, FIOCRUZ-MG., Rua Araguari, 741, Barro Preto. Belo Horizonte, MG, Brazil, Genomics and Computational Biology Group, Research Center René Rachou, FIOCRUZ-MG., Av. Augusto de Lima, 1715, Barro Preto. Belo Horizonte, MG, Brazil; Vanderwall, D.E., Molecular Discovery Research, GlaxoSmithKline Moore Dr, Research Triangle Park, NC, 27709, United States; Oliveira, G.C., Center for Excellence in Bioinformatics, Research Center René Rachou, FIOCRUZ-MG., Rua Araguari, 741, Barro Preto. Belo Horizonte, MG, Brazil, Genomics and Computational Biology Group, Research Center René Rachou, FIOCRUZ-MG., Av. Augusto de Lima, 1715, Barro Preto. Belo Horizonte, MG, Brazil","Background: Retrieving pertinent information from biological scientific literature requires cutting-edge text mining methods which may be able to recognize the meaning of the very ambiguous names of biological entities. Aliases of a gene share a common vocabulary in their respective collections of PubMed abstracts. This may be true even when these aliases are not associated with the same subset of documents. This gene-specific vocabulary defines a unique fingerprint that can be used to disclose ambiguous aliases. The present work describes an original method for automatically assessing the ambiguity levels of gene aliases in large gene terminologies based exclusively in the content of their associated literature. The method can deal with the two major problems restricting the usage of current text mining tools: 1) different names associated with the same gene; and 2) one name associated with multiple genes, or even with non-gene entities. Important, this method does not require training examples.Results: Aliases were considered "" ambiguous"" when their Jaccard distance to the respective official gene symbol was equal or greater than the smallest distance between the official gene symbol and one of the three internal controls (randomly picked unrelated official gene symbols). Otherwise, they were assigned the status of "" synonyms"" . We evaluated the coherence of the results by comparing the frequencies of the official gene symbols in the text corpora retrieved with their respective "" synonyms"" or "" ambiguous"" aliases. Official gene symbols were mentioned in the abstract collections of 42 % (70/165) of their respective synonyms. No official gene symbol occurred in the abstract collections of any of their respective ambiguous aliases. In overall, querying PubMed with official gene symbols and "" synonym"" aliases allowed a 3.6-fold increase in the number of unique documents retrieved.Conclusions: These results confirm that this method is able to distinguish between synonyms and ambiguous gene aliases based exclusively on their vocabulary fingerprint. The approach we describe could be used to enhance the retrieval of relevant literature related to a gene. © 2010 Coimbra et al; licensee BioMed Central Ltd.",,"acyl coenzyme A desaturase 1; alpha adducin; sterol regulatory element binding protein 1c; algorithm; article; automation; data mining; DNA fingerprinting; gene cluster; gene expression; human; information retrieval; nomenclature; peripheral blood mononuclear cell; algorithm; data mining; gene; linguistics; Medline; methodology; nomenclature; semantics; Algorithms; Data Mining; Genes; PubMed; Semantics; Terminology as Topic; Vocabulary, Controlled","Coimbra, R.S.; Center for Excellence in Bioinformatics, Research Center René Rachou, FIOCRUZ-MG., Rua Araguari 741, Barro Preto. Belo Horizonte, MG, Brazil; email: roney.s.coimbra@cpqrr.fiocruz.br",,,14712164,,BGMEE,"21210969","English","BMC Genomics",Article,"Final",Open Access,Scopus,2-s2.0-78650810699
"Machado K.S., Winck A.T., Ruiz D.D.A., Norberto de Souza O.","23389905800;34870759800;56187800200;7003541012;","Mining flexible-receptor docking experiments to select promising protein receptor snapshots",2010,"BMC Genomics","11","SUPPL. 5", S6,"","",,20,"10.1186/1471-2164-11-S5-S6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650813408&doi=10.1186%2f1471-2164-11-S5-S6&partnerID=40&md5=75c7d143383ce14f70f3ec6680659a93","LABIO - Laboratório de Bioinformática, Modelagem e Simulação de Biossistemas. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga, 6681 - Prédio 32, sala 602, 90619-900, Porto Alegre, RS, Brazil; GPIN - Grupo de Pesquisa em Inteligência de Negócio. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga 6681 - Prédio 32, sala 628, 90619-900, Porto Alegre, RS, Brazil","Machado, K.S., LABIO - Laboratório de Bioinformática, Modelagem e Simulação de Biossistemas. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga, 6681 - Prédio 32, sala 602, 90619-900, Porto Alegre, RS, Brazil; Winck, A.T., GPIN - Grupo de Pesquisa em Inteligência de Negócio. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga 6681 - Prédio 32, sala 628, 90619-900, Porto Alegre, RS, Brazil; Ruiz, D.D.A., GPIN - Grupo de Pesquisa em Inteligência de Negócio. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga 6681 - Prédio 32, sala 628, 90619-900, Porto Alegre, RS, Brazil; Norberto de Souza, O., LABIO - Laboratório de Bioinformática, Modelagem e Simulação de Biossistemas. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga, 6681 - Prédio 32, sala 602, 90619-900, Porto Alegre, RS, Brazil","Background: Molecular docking simulation is the Rational Drug Design (RDD) step that investigates the affinity between protein receptors and ligands. Typically, molecular docking algorithms consider receptors as rigid bodies. Receptors are, however, intrinsically flexible in the cellular environment. The use of a time series of receptor conformations is an approach to explore its flexibility in molecular docking computer simulations, but it is extensively time-consuming. Hence, selection of the most promising conformations can accelerate docking experiments and, consequently, the RDD efforts.Results: We previously docked four ligands (NADH, TCL, PIF and ETH) to 3,100 conformations of the InhA receptor from M. tuberculosis. Based on the receptor residues-ligand distances we preprocessed all docking results to generate appropriate input to mine data. Data preprocessing was done by calculating the shortest interatomic distances between the ligand and the receptor's residues for each docking result. They were the predictive attributes. The target attribute was the estimated free-energy of binding (FEB) value calculated by the AutodDock3.0.5 software. The mining inputs were submitted to the M5P model tree algorithm. It resulted in short and understandable trees. On the basis of the correlation values, for NADH, TCL and PIF we obtained more than 95% correlation while for ETH, only about 60%. Post processing the generated model trees for each of its linear models (LMs), we calculated the average FEB for their associated instances. From these values we considered a LM as representative if its average FEB was smaller than or equal the average FEB of the test set. The instances in the selected LMs were considered the most promising snapshots. It totalized 1,521, 1,780, 2,085 and 902 snapshots, for NADH, TCL, PIF and ETH respectively.Conclusions: By post processing the generated model trees we were able to propose a criterion of selection of linear models which, in turn, is capable of selecting a set of promising receptor conformations. As future work we intend to go further and use these results to elaborate a strategy to preprocess the receptors 3-D spatial conformation in order to predict FEB values. Besides, we intend to select other compounds, among the million catalogued, that may be promising as new drug candidates for our particular protein receptor target. © 2010 Machado et al; licensee BioMed Central Ltd.",,"reduced nicotinamide adenine dinucleotide; bacterial protein; InhA protein, Mycobacterium; ligand; oxidoreductase; algorithm; article; computer program; crystal structure; data mining; information processing; molecular docking; molecular dynamics; Mycobacterium tuberculosis; nonhuman; prediction; protein conformation; statistical model; time series analysis; algorithm; chemical structure; drug design; metabolism; protein conformation; Mycobacterium tuberculosis; Algorithms; Bacterial Proteins; Drug Design; Ligands; Linear Models; Models, Molecular; Molecular Dynamics Simulation; Oxidoreductases; Protein Conformation","Norberto de Souza, O.; LABIO - Laboratório de Bioinformática, Modelagem e Simulação de Biossistemas. PPGCC, Faculdade de Informática, PUCRS, Av. Ipiranga, 6681 - Prédio 32, sala 602, 90619-900, Porto Alegre, RS, Brazil; email: osmar.norberto@pucrs.br",,,14712164,,BGMEE,"21210972","English","BMC Genomics",Article,"Final",Open Access,Scopus,2-s2.0-78650813408
"Dos Santos F.F., De Carvalho V.O., Oliveira Rezende S.","7005642908;7006383964;7005154055;","Selecting candidate labels for hierarchical document clusters using association rules",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6438 LNAI","PART 2",,"163","176",,1,"10.1007/978-3-642-16773-7_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649991980&doi=10.1007%2f978-3-642-16773-7_14&partnerID=40&md5=e7bb1725fd10ad52b2283348e351b46e","Instituto de Ciências Matemáticas e de Computaçã o, Universidade de São Paulo (USP), Brazil; Instituto de Geociências e Ciências Exatas, UNESP - Univ. Estadual Paulista, Brazil","Dos Santos, F.F., Instituto de Ciências Matemáticas e de Computaçã o, Universidade de São Paulo (USP), Brazil; De Carvalho, V.O., Instituto de Geociências e Ciências Exatas, UNESP - Univ. Estadual Paulista, Brazil; Oliveira Rezende, S., Instituto de Ciências Matemáticas e de Computaçã o, Universidade de São Paulo (USP), Brazil","One way to organize knowledge and make its search and retrieval easier is to create a structural representation divided by hierarchically related topics. Once this structure is built, it is necessary to find labels for each of the obtained clusters. In many cases the labels have to be built using only the terms in the documents of the collection. This paper presents the SeCLAR (Selecting Candidate Labels using Association Rules) method, which explores the use of association rules for the selection of good candidates for labels of hierarchical document clusters. The candidates are processed by a classical method to generate the labels. The idea of the proposed method is to process each parent-child relationship of the nodes as an antecedent-consequent relationship of association rules. The experimental results show that the proposed method can improve the precision and recall of labels obtained by classical methods. © 2010 Springer-Verlag.","association rules; label hierarchical clustering; text mining","Classical methods; Hierarchical document; Precision and recall; Search and retrieval; Structural representation; Text mining; Classical methods; Hier-archical clustering; Hierarchical document; Precision and recall; Search and retrieval; Structural representation; Text mining; Artificial intelligence; Knowledge representation; Soft computing; Artificial intelligence; Data mining; Soft computing; Association rules; Association rules","Dos Santos, F. F.; Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo (USP)Brazil; email: fabianof@icmc.usp.br",,,03029743,3642167721; 9783642167720,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-78649991980
"Castelo-Fernández C., De Rezende P.J., Falcão A.X., Papa J.P.","36665912900;6602904104;7006331391;23397842300;","Improving the accuracy of the optimum-path forest supervised classifier for large datasets",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6419 LNCS",,,"467","475",,,"10.1007/978-3-642-16687-7_62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649978375&doi=10.1007%2f978-3-642-16687-7_62&partnerID=40&md5=ff2b3bc4bd19a78311378d072b470efd","Institute of Computing, State University of Campinas- UNICAMP, Campinas, Brazil; Department of Computing, São Paulo State University-UNESP, Baurú, Brazil","Castelo-Fernández, C., Institute of Computing, State University of Campinas- UNICAMP, Campinas, Brazil; De Rezende, P.J., Institute of Computing, State University of Campinas- UNICAMP, Campinas, Brazil; Falcão, A.X., Institute of Computing, State University of Campinas- UNICAMP, Campinas, Brazil; Papa, J.P., Department of Computing, São Paulo State University-UNESP, Baurú, Brazil","In this work, a new approach for supervised pattern recognition is presented which improves the learning algorithm of the Optimum-Path Forest classifier (OPF), centered on detection and elimination of outliers in the training set. Identification of outliers is based on a penalty computed for each sample in the training set from the corresponding number of imputable false positive and false negative classification of samples. This approach enhances the accuracy of OPF while still gaining in classification time, at the expense of a slight increase in training time. © 2010 Springer-Verlag.","Learning Algorithm; Optimum-Path Forest Classifier; Outlier Detection; Supervised Classification","Classification time; False negatives; False positive; Forest classifiers; Large datasets; New approaches; Outlier Detection; Supervised classification; Supervised classifiers; Supervised pattern recognition; Training sets; Training time; Classification time; False positive and false negatives; New approaches; Optimum-path forests; Outlier Detection; Supervised classification; Supervised classifiers; Supervised pattern recognition; Classification (of information); Classifiers; Computer vision; Data mining; Classification (of information); Data mining; Forestry; Learning algorithms; Statistics; Learning algorithms; Pattern recognition","Castelo-Fernández, C.; Institute of Computing, State University of Campinas- UNICAMP, Campinas, Brazil; email: ccastelo@liv.ic.unicamp.br",,,03029743,3642166865; 9783642166860,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-78649978375
"Pérez-Ortega J., Fragoso-Diaz O., Santaolaya-Salgado R., Mexicano-Santoyo A., Henriques F.","55387299600;25924934400;22735301600;36662380800;36662164800;","A data mining system for the generation of geographical C16 cancer patterns",2010,"Proceedings - 5th International Conference on Software Engineering Advances, ICSEA 2010",,, 5615016,"417","421",,2,"10.1109/ICSEA.2010.71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649818083&doi=10.1109%2fICSEA.2010.71&partnerID=40&md5=9d123ca23ac1de0c669e16a5585a02be","Department of Computer Science, CENIDET, Cuernavaca, Mexico; Fundação Nacional de Saúde, Recife, Brazil","Pérez-Ortega, J., Department of Computer Science, CENIDET, Cuernavaca, Mexico; Fragoso-Diaz, O., Department of Computer Science, CENIDET, Cuernavaca, Mexico; Santaolaya-Salgado, R., Department of Computer Science, CENIDET, Cuernavaca, Mexico; Mexicano-Santoyo, A., Department of Computer Science, CENIDET, Cuernavaca, Mexico; Henriques, F., Fundação Nacional de Saúde, Recife, Brazil","This paper describes the results of data mining system developed ad hoc to address the problem of discovering patterns of interest in population databases for cancer. In particular, the experimental results obtained by the system are shown. The architecture of the system is innovative since it integrates a visual cartographic, a data warehouse and a data mining system. The k-means algorithm was used for the generation of patterns, which permits expressing patterns as regions or groups of districts with affinity in their localization and mortality rate parameters. The source databases used in this investigation were obtained from Mexican official institutions. As a result of the application of the system, a set of clustering patterns was generated, which defines the mortality distribution for stomach cancer in Mexican districts. © 2010 IEEE.","Cancer; Specialized software for data mining","Cancer; Data mining system; k-Means algorithm; Mortality rate; Official institutions; Specialized software; Stomach cancer; Data warehouses; Mapping; Mining machinery; Population statistics; Software engineering; Data mining","Pérez-Ortega, J.; Department of Computer Science, CENIDET, Cuernavaca, Mexico; email: jperez@cenidet.edu.mx",,,,9780769541440,,,"English","Proc. - Int. Conf. Softw. Eng. Adv., ICSEA",Conference Paper,"Final",,Scopus,2-s2.0-78649818083
"De Carvalho A.B., Savegnago T., Pozo A.","24467543600;36662689000;13404845400;","Swarm intelligence for rule discovery in data mining",2010,"ICEIS 2010 - Proceedings of the 12th International Conference on Enterprise Information Systems","2 AIDSS",,,"314","319",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649820110&partnerID=40&md5=7ee18c651a209d4c28f655aed24b160e","Federal University of Parana, Curitiba PR, Brazil","De Carvalho, A.B., Federal University of Parana, Curitiba PR, Brazil; Savegnago, T., Federal University of Parana, Curitiba PR, Brazil; Pozo, A., Federal University of Parana, Curitiba PR, Brazil","This paper aims to discuss Swarm Intelligence approaches for Rule Discovery in Data Mining. The first approach is a new rule learning algorithm based on Particle Swarm Optimization (PSO) and that uses a Multiobjective technique to conceive a complete novel approach to induce classifiers, called MOPSO-N. In this approach the properties of the rules can be expressed in different objectives and then the algorithm finds these rules in an unique run by exploring Pareto dominance concepts. The second approach, called PSO/ACO2 algorithm, uses a hybrid technique combining Particle Swarm Optimization and Ant Colony Optimization. Both approaches directly deal with continuous and nominal attribute values, a feature that current bioinspired rule induction algorithms lack. In this work, an experiment is performed to evaluated both approaches by comparing the performance of the induced classifiers.","Multi-objective optimization; Particle swarm optimization; Rule induction","Ant-colony optimization; Bio-inspired; Hybrid techniques; Multi objective; Nominal attributes; Pareto dominance; Particle swarm; Rule discovery; Rule induction; Rule induction algorithms; Rule learning algorithms; Swarm Intelligence; Artificial intelligence; Cellular automata; Classifiers; Data mining; Information systems; Learning algorithms; Multiobjective optimization; Particle swarm optimization (PSO)","De Carvalho, A. B.; Federal University of Parana, Curitiba PR, Brazil; email: andrebc@inf.ufpr.br",,,,9789898425058,,,"English","ICEIS - Proc. Int. Conf. Enterp. Inf. Syst.",Conference Paper,"Final",,Scopus,2-s2.0-78649820110
"Miani R.G., Yaguinuma C.A., Santos M.T.P., Ferraz V.R.T.","26633059100;26633265500;15066089800;36185310600;","NARFO* algorithm: Optimizing the process of obtaining non-redundant and generalized semantic association rules",2010,"ICEIS 2010 - Proceedings of the 12th International Conference on Enterprise Information Systems","2 AIDSS",,,"320","325",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649869064&partnerID=40&md5=eacd78cf600a98fd9bd55c94a99fd489","IBM Brazil Software Laboratory, 04753-080, São Paulo, Brazil; Department of Computer Science, Federal University of São Carlos, P.O. Box 676, 13565-905, São Carlos, Brazil","Miani, R.G., IBM Brazil Software Laboratory, 04753-080, São Paulo, Brazil; Yaguinuma, C.A., Department of Computer Science, Federal University of São Carlos, P.O. Box 676, 13565-905, São Carlos, Brazil; Santos, M.T.P., Department of Computer Science, Federal University of São Carlos, P.O. Box 676, 13565-905, São Carlos, Brazil; Ferraz, V.R.T., Department of Computer Science, Federal University of São Carlos, P.O. Box 676, 13565-905, São Carlos, Brazil","This paper proposes the NARFO* algorithm, an algorithm for mining non-redundant and generalized association rules based on fuzzy ontologies. The main contribution of this work is to optimize the process of obtaining non-redundant and generalized semantic association rules by introducing the minGen (Minimal Generalization) parameter in the latest version of NARFO algorithm. This parameter acts on generalize rales, especially the ones with low minimum support, preserving their semantic and eliminating redundancy, thus reducing considerably the amount of generated rales. Experiments showed that NARFO* produces semantic rales, without redundancy, obtaining 68,75% and 55,54% of reduction in comparison with XSSDM algorithm and NARFO algorithm, respectively.","Data mining; Fuzzy ontology; Generalized semantic association rules; Redundant rules","Fuzzy ontology; Generalized association rules; Generalized semantic association rules; Minimum support; Redundant rules; Semantic associations; Algorithms; Association rules; Data mining; Ontology; Optimization; Quality assurance; Redundancy; Semantics; Information systems","Miani, R. G.; IBM Brazil Software Laboratory, 04753-080, São Paulo, Brazil; email: rafagami@br.ibm.com",,,,9789898425058,,,"English","ICEIS - Proc. Int. Conf. Enterp. Inf. Syst.",Conference Paper,"Final",,Scopus,2-s2.0-78649869064
"Ribeiro C., Goldschmidt R., Choren R.","55510606200;56268142900;6507815235;","An extensible ensemble environment for time series forecasting",2010,"ICEIS 2010 - Proceedings of the 12th International Conference on Enterprise Information Systems","2 AIDSS",,,"404","407",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649854089&partnerID=40&md5=1bb2d8459a117c62b48b50e79c5efaee","Department of Computer Engineering, Military Institute of Engineering, Rio de Janeiro, RJ, Brazil","Ribeiro, C., Department of Computer Engineering, Military Institute of Engineering, Rio de Janeiro, RJ, Brazil; Goldschmidt, R., Department of Computer Engineering, Military Institute of Engineering, Rio de Janeiro, RJ, Brazil; Choren, R., Department of Computer Engineering, Military Institute of Engineering, Rio de Janeiro, RJ, Brazil","There have been diverse works demonstrating that ensembles can improve the performance over any individual solution for time series forecasting. This work presents an extensible environment that can be used to create, experiment and analyse ensembles for time series forecasting. Usually, the analyst develops the individual solution and the ensemble algorithms for each experiment. The proposed environment intends to provide a flexible tool for the analyst to include, configure and experiment with individual solutions and to build and execute ensembles. In this paper, we describe the environment, its features and we present a simple experiment on its usage.","Data mining; Ensembles; Software tool; Time series forecasting","Ensemble algorithms; Ensembles; Flexible tool; Software tool; Time series forecasting; Computer software; Data mining; Experiments; Forecasting; Time series; Information systems","Ribeiro, C.; Department of Computer Engineering, Military Institute of Engineering, Rio de Janeiro, RJ, Brazil; email: claudiovas02@yahoo.com.br",,,,9789898425058,,,"English","ICEIS - Proc. Int. Conf. Enterp. Inf. Syst.",Conference Paper,"Final",,Scopus,2-s2.0-78649854089
